Program/Fiscal Year,fy 2011/12,fy 2012/13,fy 2013/14,fy 2014/15,fy 2015/16,fy 2016/17,fy 2017/18,fy 2018/19,fy 2019/20,fy 2020/21,fy 2021/22,fy 2022/23,fy 2023/24,fy 2024/25
Construction Health and Safety Program,"21,241","20,923","19,450","20,197","17,154","19,170","19,028","19,511","22,561","19,680","18,818","16,717","12,976","13,683"
Industrial Health and Safety Program,"23,418","21,015","17,796","15,544","18,748","16,003","16,036","18,122","16,395","11,325","13,617","20,523","16,756","18,578"
Mining Health and Safety Program,"2,159","1,580","1,645","1,655","1,472","1,195","2,123","2,324","1,549","1,765","1,583","1,528","1,434","1,349"
Specialized Protection Services,"3,235","2,890","2,922","2,893","3,411","3,774","4,349","3,298","3,278","1,629","2,055","2,320","1,948","1,956"
